iter	Passed	Remaining
961	13102	517
962	13115	503
963	13130	490
964	13143	476
965	13157	463
966	13170	449
967	13183	435
968	13196	422
969	13209	408
970	13222	394
971	13235	381
972	13249	367
973	13262	354
974	13275	340
975	13287	326
976	13300	313
977	13313	299
978	13327	285
979	13340	272
980	13354	258
981	13368	245
982	13381	231
983	13394	217
984	13408	204
985	13423	190
986	13439	177
987	13452	163
988	13465	149
989	13478	136
990	13491	122
991	13504	108
992	13516	95
993	13529	81
994	13542	68
995	13555	54
996	13568	40
997	13581	27
998	13594	13
999	13607	0
